CICS  IRVING PARK,534,-3.96,3678872,-0.97
CICS  LONGWOOD,1343,-1.32,11071819,0.29
CICS  LOOMIS,552,0.36,4114391,5.43
CICS  NORTHTOWN HS,875,-3.63,7875426,3.57
CICS  PRAIRIE,430,2.38,3223847,5.47
CICS  WASHINGTON PARK,495,2.70,3816345,15.61
CICS  WEST BELDEN,537,1.13,4221980,2.71
CICS  WRIGHTWOOD,792,1.02,5863725,4.61
CLAREMONT,402,0.00,4005828,0.41
CLARK ES,215,-4.02,1818142,-11.87
CLARK HS,561,2.37,5016901,-1.60
CLAY,564,1.99,4260212,3.69
CLEMENTE HS,750,1.76,7115442,5.07
CLEVELAND,514,-6.88,4745208,-8.46
CLINTON,1089,-1.27,7645277,7.97
CLISSOLD,502,-2.71,4344151,4.53
COLEMON,200,-8.68,1774525,-2.18
COLES,393,-7.09,3083962,-3.44
COLLINS HS,272,-7.80,2447115,-13.95
COLUMBIA EXPLORERS,1043,-2.43,7310089,3.49
COLUMBUS,273,3.02,1921843,2.70
COOK,322,-2.42,3052114,2.17
COONLEY,984,3.80,6429398,2.46
COOPER,397,-10.18,3636514,-3.19
CORKERY,478,-5.16,4157383,7.57
CORLISS HS,307,-17.25,3663833,-12.01
COURTENAY,364,-7.14,3930970,-13.45
CRANE MEDICAL HS,582,-1.36,4126146,-9.47
CROWN,256,-4.48,2155966,-5.82
CUFFE,301,-6.23,2386266,-7.66
CULLEN,153,-11.05,1276206,-6.24
CURIE HS,2935,-0.54,24232204,1.37
CURTIS,527,-3.66,3929769,-0.17
DALEY,548,-6.00,4031773,-0.54
DARWIN,424,-8.42,3362962,-6.03
DAVIS M,249,-4.60,2507092,-0.43
DAVIS N,642,-4.32,5244092,6.35
DAWES,970,-0.10,7894570,4.36
DE DIEGO,544,-5.23,4333479,-5.17
DECATUR,304,4.11,2034056,9.98
DENEEN,506,-1.36,3932454,7.00
DEPRIEST,525,-5.23,5136052,-2.70
DETT,236,-7.81,2764645,-5.42
DEVER,737,-1.47,5415855,8.25
DEVRY HS,193,-1.53,1835788,-5.33
DEWEY,350,2.34,2817933,4.23
DIRKSEN,846,1.81,6023250,5.33
DISNEY,1472,-1.93,10139967,2.42
DISNEY II,1104,0.55,7879434,2.51
DIXON,500,-7.75,3693187,-5.13
DOOLITTLE,246,-1.99,1885972,0.29
DORE,726,4.01,4960504,8.75
DOUGLASS HS,132,-24.57,1574190,-19.20
DRAKE,349,-7.67,2985196,-13.04
DRUMMOND,280,-1.41,2580932,-2.47
DUBOIS,240,1.27,2195171,12.34
DULLES,549,-5.67,4320034,-4.63
DUNBAR HS,426,-24.06,5036137,-20.68
DUNNE,208,-5.02,1827580,-7.89
DURKIN PARK,651,1.40,4892069,7.43
DVORAK,331,-7.54,2789085,3.80
DYETT ARTS HS,292,95.97,2352958,70.11
EARHART,241,-3.60,1759806,-2.07
EARLE,398,-2.45,3350786,1.23
EBERHART,1392,-2.18,9784777,2.94
EBINGER,821,2.63,5168630,5.02
EDGEBROOK,508,-1.36,3107510,3.59
EDISON,274,-0.36,1740285,0.96
EDISON PARK,555,1.28,4124416,8.70
EDWARDS,1334,-2.34,10444195,5.85
ELLINGTON,521,-4.58,4652207,-8.13
EPIC HS,478,-4.59,4726504,1.77
ERICSON,408,-0.73,3123016,4.26
ERIE,417,-0.95,3325922,8.14
ESMOND,267,-8.25,2387965,-1.57
EVERETT,146,-7.01,1412025,20.95
EVERGREEN,310,2.31,2585426,2.27
EVERS,257,-6.88,2284984,1.50
FAIRFIELD,540,-2.17,3932171,2.18
FALCONER,1037,-5.90,7754406,-0.67
FARADAY,255,-4.14,1992628,-9.78
FARNSWORTH,568,1.79,5343749,5.90
FARRAGUT HS,722,-11.74,7382247,-9.89
FENGER HS,203,-11.74,2168499,-15.33
FERNWOOD,258,-3.01,2161566,1.35
FIELD,168,-15.58,1443480,-9.53
FINKL,326,-12.83,3093241,-1.60
FISKE,398,0.00,3133047,-2.71
FOREMAN HS,762,-14.77,7791836,-12.92
FORT DEARBORN,352,-5.12,3228613,7.74
FOSTER PARK,313,-3.10,3073200,2.72
FOUNDATIONS,243,14.62,2011035,12.91
